latitude;longitude;altitude(m)
-22.756728;-48.548926;10
-22.758892;-48.548287;10
-22.763503;-48.548238;10
-22.763781;-48.543715;10
-22.763508;-48.541902;10
-22.763508;-48.541902;10
-22.763680;-48.544307;10
-22.763471;-48.547698;10
-22.762649;-48.536203;10
-22.761945;-48.532673;10
-22.763024;-48.547756;10
-22.762574;-48.547761;10
-22.761499;-48.532742;10
-22.761053;-48.532812;10
-22.762123;-48.547766;10
-22.761672;-48.547771;10
-22.760607;-48.532882;10
-22.760161;-48.532952;10
-22.761222;-48.547775;10
-22.760771;-48.547780;10
-22.759715;-48.533021;10
-22.759269;-48.533091;10
-22.760320;-48.547785;10
-22.759870;-48.547790;10
-22.758823;-48.533161;10
-22.758377;-48.533230;10
-22.759419;-48.547795;10
-22.758968;-48.547799;10
-22.757931;-48.533300;10
-22.757485;-48.533370;10
-22.758525;-48.547899;10
-22.758083;-48.548029;10
-22.757039;-48.533440;10
-22.756593;-48.533509;10
-22.757641;-48.548160;10
-22.757200;-48.548290;10
-22.756147;-48.533579;10
-22.755701;-48.533649;10
-22.756758;-48.548421;10
-22.756303;-48.548361;10
-22.755255;-48.533718;10
-22.754809;-48.533788;10
-22.755845;-48.548269;10
-22.755387;-48.548177;10
-22.754363;-48.533858;10
-22.753917;-48.533928;10
-22.754930;-48.548085;10
-22.754472;-48.547993;10
-22.753471;-48.533997;10
-22.753025;-48.534067;10
-22.754015;-48.547901;10
-22.753557;-48.547809;10
-22.752579;-48.534137;10
-22.752444;-48.534158;10
-22.753454;-48.548267;10
-22.756728;-48.548926;10
