latitude;longitude;altitude(m)
-22.765122;-48.527001;10
-22.765118;-48.526371;10
-22.765118;-48.526371;10
-22.764720;-48.527071;10
-22.763790;-48.527779;10
-22.765111;-48.525453;10
-22.765103;-48.524535;10
-22.763024;-48.528200;10
-22.762590;-48.528034;10
-22.765096;-48.523617;10
-22.764890;-48.523050;10
-22.762156;-48.527868;10
-22.761722;-48.527702;10
-22.764607;-48.522618;10
-22.764324;-48.522187;10
-22.761288;-48.527536;10
-22.760855;-48.527370;10
-22.764041;-48.521755;10
-22.763758;-48.521323;10
-22.760421;-48.527204;10
-22.759987;-48.527038;10
-22.763475;-48.520892;10
-22.763192;-48.520460;10
-22.759553;-48.526872;10
-22.759119;-48.526706;10
-22.762909;-48.520028;10
-22.762626;-48.519597;10
-22.758686;-48.526540;10
-22.758252;-48.526374;10
-22.762343;-48.519165;10
-22.762060;-48.518733;10
-22.757818;-48.526208;10
-22.757384;-48.526042;10
-22.761777;-48.518302;10
-22.765094;-48.523361;10
-22.765122;-48.527001;10
